# Title: January - December 2003 California County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,59.7,117,1.8,57.9
CA-003,Alpine County,California,44.9,116,1.6,43.3
CA-005,Amador County,California,58.4,110,1.2,57.2
CA-007,Butte County,California,60.1,106,1.4,58.8
CA-009,Calaveras County,California,58.8,109,1.1,57.6
CA-011,Colusa County,California,61.7,105,1.3,60.4
CA-013,Contra Costa County,California,60.5,113,1.6,58.8
CA-015,Del Norte County,California,53.3,125,2.5,50.8
CA-017,El Dorado County,California,54.7,110,1.3,53.4
CA-019,Fresno County,California,56.5,118,2.1,54.4
CA-021,Glenn County,California,60.4,103,1.1,59.3
CA-023,Humboldt County,California,55.1,122,2.2,53
CA-025,Imperial County,California,74.6,118,2.4,72.2
CA-027,Inyo County,California,61.9,117,2.3,59.6
CA-029,Kern County,California,62.8,117,2.2,60.5
CA-031,Kings County,California,64.5,118,2,62.5
CA-033,Lake County,California,57.4,105,1.1,56.3
CA-035,Lassen County,California,48.5,121,2.3,46.1
CA-037,Los Angeles County,California,62.4,116,2.6,59.9
CA-039,Madera County,California,57,117,1.9,55.1
CA-041,Marin County,California,56.5,114,1.7,54.8
CA-043,Mariposa County,California,56.1,115,1.6,54.5
CA-045,Mendocino County,California,55.8,110,0.9,54.8
CA-047,Merced County,California,62.9,113,1.9,61
CA-049,Modoc County,California,48.1,119,2.5,45.6
CA-051,Mono County,California,45.3,118,2.1,43.3
CA-053,Monterey County,California,59.3,117,2.1,57.2
CA-055,Napa County,California,59.9,111,1.7,58.2
CA-057,Nevada County,California,52.9,106,1.2,51.7
CA-059,Orange County,California,64.4,112,2.1,62.4
CA-061,Placer County,California,54.3,106,1.3,53
CA-063,Plumas County,California,48.6,119,1.8,46.8
CA-065,Riverside County,California,69.2,118,2.4,66.8
CA-067,Sacramento County,California,62.5,111,1.4,61.1
CA-069,San Benito County,California,59.6,117,2.2,57.4
CA-071,San Bernardino County,California,67.6,118,2.5,65.1
CA-073,San Diego County,California,63.5,116,2.3,61.2
CA-075,San Francisco County,California,57.7,117,1.9,55.8
CA-077,San Joaquin County,California,62.5,117,1.8,60.7
CA-079,San Luis Obispo County,California,60.1,117,2.1,58
CA-081,San Mateo County,California,57.5,119,2.1,55.4
CA-083,Santa Barbara County,California,58.8,114,2.2,56.6
CA-085,Santa Clara County,California,58.9,117,2,56.9
CA-087,Santa Cruz County,California,57.6,113,1.9,55.7
CA-089,Shasta County,California,55.9,113,1.6,54.3
CA-091,Sierra County,California,48.2,117,1.8,46.4
CA-093,Siskiyou County,California,50,119,2.2,47.8
CA-095,Solano County,California,61.5,114,1.8,59.7
CA-097,Sonoma County,California,57.4,109,1.3,56.1
CA-099,Stanislaus County,California,62,115,1.7,60.4
CA-101,Sutter County,California,63.2,105,1.3,61.8
CA-103,Tehama County,California,58.9,103,1,57.9
CA-105,Trinity County,California,53.1,115,1.6,51.6
CA-107,Tulare County,California,55.5,117,2.2,53.2
CA-109,Tuolumne County,California,51,114,1.4,49.6
CA-111,Ventura County,California,58.8,117,2.8,56
CA-113,Yolo County,California,62.4,114,1.5,60.9
CA-115,Yuba County,California,60.9,103,1.1,59.8
