ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
06,California,CA,06001,Alameda County,06001,"Alameda County, California",737.458876773714,1663823,0,622856,331,585818,1633,231148,6288,45290,1849,137412,2854,128786,3109,66485,2693,243239,0,332827,0,157897,2858,27231,1270,115693,2976,1176371,1158,142912,2316,7216,574,43569,1576,54476,1871,34674,250,14.1,0.4,4.9,0.2,23.5,0.5,10.8,0.3,4.0,0.2,14.6,0.0,20.0,0.0,9.5,0.2,4.6,0.2,7.4,100.0,70.7,0.1,23.0,0.4,1.2,0.1,7.4,0.3,9.3,0.3,2.1,0.0,0.1053,0.1053,0.1579,0.3684,0.0702,0.8071,0.0877,0.2807,0.3333,0.0877,0.3333,0.5965,1.6315,0.0702,0.8421,0.8421,0.8421,0.9474,0.0351,0.7193,0.9825,0.4912,3.1755,0.8596,6.4562,0.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1716655,41240,1591,165390,1938,369603,0,530999,2283,4870,325,12278,525,83622,3205,9609,1327,7.0,0.3,9.9,0.1,22.2,0.0,31.9,0.1,0.3,0.1,0.7,0.1,5.0,0.2,0.6,0.1
06,California,CA,06003,Alpine County,06003,"Alpine County, California",738.340000147914,1515,206,1617,95,435,72,278,84,33,28,50,26,72,45,97,57,386,82,345,88,205,68,15,11,24,49,635,261,347,84,29,24,9,11,15,13,69,8,18.3,5.0,4.9,3.9,11.5,5.7,6.7,4.2,6.4,3.8,25.5,5.4,22.8,4.6,13.5,4.8,3.4,2.5,1.7,3.5,41.9,16.3,21.5,5.0,1.8,1.5,2.0,2.5,3.4,3.0,4.6,0.8,0.386,0.1053,0.0,0.1228,0.4386,1.0527,0.1228,0.8246,0.6667,0.5965,0.1053,0.193,2.3861,0.4386,0.4386,0.4386,0.4386,0.8947,0.1053,0.0175,0.0702,0.807,1.8947,0.1579,5.7721,0.1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,44,21,0,13,213,129,3,6,363,47,0,13,50,32,6,9,10.1,4.9,0.0,2.6,14.1,7.4,0.2,0.4,24.0,4.0,0.0,2.6,3.3,2.1,0.4,0.6
06,California,CA,06005,Amador County,06005,"Amador County, California",594.584366047242,40577,0,18813,42,15745,433,5543,902,1016,271,4638,567,3032,422,1817,401,10925,90,6244,77,6812,704,408,123,411,139,10184,329,696,328,1305,255,433,140,845,295,3050,52,14.8,2.4,6.0,1.6,29.5,3.5,9.5,1.3,4.8,1.1,26.9,0.2,15.4,0.2,18.1,1.9,2.5,0.8,1.1,0.4,25.1,0.8,3.7,1.7,6.9,1.4,2.7,0.9,5.4,1.9,7.5,0.1,0.1754,0.386,0.5439,0.2982,0.1579,1.5614,0.2632,0.8596,0.0351,0.8421,0.0175,0.1053,1.8596,0.1754,0.1754,0.1754,0.1754,0.2456,0.614,0.1754,0.5439,0.9298,2.5087,0.5088,6.1051,0.2281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,39375,2060,384,668,119,6140,0,506,122,395,139,15,12,2182,316,278,244,13.1,2.4,1.6,0.3,15.1,0.0,1.2,0.3,1.0,0.3,0.0,0.1,5.4,0.8,0.7,0.6
06,California,CA,06007,Butte County,06007,"Butte County, California",1636.488965591808,213605,0,93069,80,83319,903,58898,2671,7344,822,26926,1292,13468,864,13966,1165,38852,40,43011,0,34705,1497,4138,450,5128,665,66604,596,8319,748,10285,710,3146,472,5063,483,6182,91,28.2,1.3,7.1,0.8,32.3,1.5,9.7,0.6,6.6,0.6,18.2,0.1,20.1,0.0,16.4,0.7,5.0,0.5,2.5,0.3,31.2,0.3,8.9,0.8,11.1,0.8,3.8,0.6,6.1,0.6,2.9,0.0,0.8421,0.5789,0.807,0.3158,0.4912,3.035,0.6491,0.5789,0.3684,0.7368,0.4386,0.2807,2.4034,0.4561,0.2632,0.2632,0.2632,0.614,0.807,0.2807,0.7193,0.6316,3.0526,0.807,8.7542,0.5965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210449,8412,667,3695,267,38361,0,10818,566,1514,256,605,97,10992,781,619,467,10.1,0.8,1.7,0.1,18.0,0.0,5.1,0.3,0.7,0.1,0.3,0.1,5.1,0.4,0.3,0.2
06,California,CA,06009,Calaveras County,06009,"Calaveras County, California",1020.01868837072,45674,0,27521,33,17198,559,9689,1484,1150,269,5530,588,2637,420,2650,642,13155,150,7690,123,9660,922,546,175,254,153,9927,159,388,193,1799,333,342,148,355,131,502,15,21.4,3.3,6.2,1.4,32.2,3.3,7.4,1.2,5.8,1.4,28.8,0.3,16.8,0.3,21.3,2.0,3.2,1.0,0.6,0.3,21.7,0.3,1.4,0.7,6.5,1.2,2.0,0.9,2.1,0.8,1.1,0.0,0.4737,0.4211,0.7895,0.1579,0.2807,2.1229,0.4035,0.9298,0.0702,0.9825,0.0702,0.0,2.0527,0.2807,0.0877,0.0877,0.0877,0.0351,0.5439,0.0175,0.0,0.0877,0.6842,0.0,4.9475,0.0702,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,36233,2464,420,450,166,6197,0,896,235,372,144,37,41,1964,332,11,29,14.3,2.4,1.0,0.4,13.6,0.0,2.0,0.5,0.8,0.3,0.1,0.1,4.3,0.7,0.0,0.1
06,California,CA,06011,Colusa County,06011,"Colusa County, California",1150.678727191492,21811,0,8107,50,7432,182,4883,774,773,221,2049,347,3747,362,1980,401,3299,91,5807,39,2841,342,597,158,2975,377,14508,31,176,97,500,126,384,134,340,132,230,8,22.6,3.6,7.4,2.1,27.6,4.6,26.7,2.6,9.1,1.9,15.1,0.4,26.6,0.2,13.1,1.6,8.0,2.1,14.6,1.9,66.5,0.1,2.2,1.2,6.2,1.6,5.1,1.8,4.6,1.8,1.1,0.0,0.5439,0.6316,0.3684,0.9474,0.8772,3.3685,0.7719,0.3509,0.8246,0.5789,0.8947,0.9649,3.614,0.9825,0.7368,0.7368,0.7368,0.0702,0.4912,0.4737,0.2807,0.0877,1.4035,0.1053,9.1228,0.6842,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,22793,1441,219,306,34,13280,0,127,205,153,77,23,29,577,225,42,47,19.4,3.0,1.4,0.2,60.9,0.0,0.6,0.9,0.7,0.4,0.1,0.1,2.6,1.0,0.2,0.2
06,California,CA,06013,Contra Costa County,06013,"Contra Costa County, California",716.89599082121,1162648,0,424057,179,408537,1056,155421,5843,35616,2030,91531,2593,83135,2660,53839,2983,190307,0,258051,0,130100,3307,23208,1302,65143,2624,690897,1809,55461,1833,6325,607,22857,1372,20801,1216,11454,211,13.5,0.5,5.8,0.3,22.4,0.6,10.3,0.3,4.7,0.3,16.4,0.0,22.2,0.0,11.2,0.3,5.7,0.3,5.9,100.0,59.4,0.2,13.1,0.4,1.5,0.1,5.6,0.3,5.1,0.3,1.0,0.0,0.0702,0.3158,0.1404,0.3333,0.1228,0.9825,0.1053,0.4737,0.6316,0.2281,0.5614,0.4912,2.386,0.4211,0.6316,0.6316,0.6316,0.7895,0.0702,0.5088,0.4386,0.0351,1.8422,0.1404,5.8423,0.1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994505,21205,1147,97612,1597,306895,0,209562,2213,1960,375,5405,435,62504,3076,6959,1070,5.2,0.3,8.4,0.1,26.4,0.0,18.0,0.2,0.2,0.1,0.5,0.1,5.4,0.3,0.6,0.1
06,California,CA,06015,Del Norte County,06015,"Del Norte County, California",1006.20105339317,27462,0,11103,42,9530,265,6351,740,662,153,2628,383,3305,398,1537,299,5261,122,5798,103,4860,483,425,157,425,179,10786,200,527,203,2243,306,282,124,698,229,2328,58,25.3,2.9,6.3,1.5,27.6,3.9,16.8,2.0,6.1,1.2,19.2,0.4,21.1,0.4,19.3,1.9,4.5,1.6,1.6,0.7,39.3,0.7,4.7,1.8,20.2,2.8,3.0,1.3,7.3,2.4,8.5,0.2,0.7018,0.4737,0.3684,0.6667,0.3333,2.5439,0.5263,0.614,0.4386,0.9474,0.2807,0.1754,2.4561,0.4737,0.4035,0.4035,0.4035,0.3684,0.9649,0.2105,0.8947,0.9474,3.3859,0.9298,8.7894,0.614,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3,27228,971,218,730,143,5607,0,830,247,1749,218,79,66,1597,391,194,161,10.2,2.3,2.7,0.5,20.4,0.0,3.0,0.9,6.4,0.8,0.3,0.2,5.8,1.4,0.7,0.6
06,California,CA,06017,El Dorado County,06017,"El Dorado County, California",1707.840348009224,191713,0,93679,79,75190,847,26019,2201,4244,502,18907,1055,7420,868,7976,950,42605,126,37685,0,23444,1199,2978,457,2279,388,46882,468,4157,477,5166,634,1719,330,2881,434,1901,36,13.7,1.2,4.6,0.5,25.1,1.4,5.3,0.6,4.2,0.5,22.2,0.1,19.7,0.0,12.3,0.6,3.9,0.6,1.2,0.2,24.5,0.2,4.4,0.5,5.5,0.7,2.3,0.4,3.8,0.6,1.0,0.0,0.0877,0.0877,0.2456,0.0526,0.1053,0.5789,0.0702,0.7368,0.2982,0.4211,0.1579,0.1228,1.7368,0.1053,0.1579,0.1579,0.1579,0.2807,0.4561,0.1228,0.1053,0.0351,1.0,0.0175,3.4736,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162103,6133,702,1248,207,25930,0,9446,417,661,226,308,105,8608,619,681,298,8.2,0.9,0.7,0.1,13.5,0.0,4.9,0.2,0.3,0.1,0.2,0.1,4.5,0.3,0.4,0.2
06,California,CA,06019,Fresno County,06019,"Fresno County, California",5958.379845305886,1008280,0,339270,236,318322,1104,304890,7737,39943,1889,106907,2652,135775,3128,71873,2508,125708,76,282976,0,128292,3108,27809,1268,95429,2923,732515,664,32723,1560,13467,907,33593,1395,23481,1280,18690,269,30.8,0.8,8.6,0.4,33.6,0.8,21.7,0.5,7.2,0.3,12.5,0.1,28.1,0.0,12.9,0.3,8.7,0.4,10.2,100.0,72.6,0.1,9.7,0.5,4.0,0.3,10.5,0.4,7.4,0.4,1.9,0.0,0.9123,0.8596,0.9298,0.8421,0.6316,4.1754,0.9123,0.0877,0.9298,0.5439,0.9298,0.8246,3.3158,0.8947,0.9123,0.9123,0.9123,0.6316,0.2807,0.9474,0.9123,0.3509,3.1229,0.8421,11.5264,0.9474,1,0,1,0,0,2,0,1,0,1,0,2,1,1,0,0,1,1,0,2,7,1045165,46147,1656,42216,1231,546774,0,105291,1358,4220,461,1539,211,28688,1819,3787,781,14.5,0.5,4.2,0.1,54.2,0.0,10.4,0.1,0.4,0.1,0.2,0.1,2.8,0.2,0.4,0.1
