"","ep_pov150","ep_unemp","ep_hburd","ep_nohsdp","ep_uninsur","ep_age65","ep_age17","ep_disabl","ep_sngpnt","ep_limeng","ep_minrty","ep_munit","ep_mobile","ep_crowd","ep_noveh","ep_groupq","total_cases"
"ep_pov150","","0.793
(0)","0.588
(0)","0.611
(0)","0.447
(0)","-0.245
(0.064)","0.523
(0)","0.39
(0.002)","0.68
(0)","0.32
(0.014)","0.224
(0.091)","-0.371
(0.004)","0.421
(0.001)","0.269
(0.041)","0.126
(0.345)","0.095
(0.479)","0.276
(0.036)"
"ep_unemp","0.793
(0)","","0.436
(0.001)","0.435
(0.001)","0.23
(0.082)","-0.048
(0.718)","0.395
(0.002)","0.437
(0.001)","0.55
(0)","0.259
(0.049)","0.215
(0.104)","-0.286
(0.03)","0.267
(0.043)","0.221
(0.095)","0.071
(0.597)","0.081
(0.548)","0.175
(0.188)"
"ep_hburd","0.588
(0)","0.436
(0.001)","","0.412
(0.001)","0.256
(0.052)","-0.308
(0.019)","0.305
(0.02)","0.192
(0.15)","0.597
(0)","0.254
(0.054)","0.159
(0.232)","-0.319
(0.015)","0.161
(0.227)","0.304
(0.02)","0.039
(0.769)","-0.111
(0.408)","0.274
(0.037)"
"ep_nohsdp","0.611
(0)","0.435
(0.001)","0.412
(0.001)","","0.426
(0.001)","-0.672
(0)","0.842
(0)","-0.183
(0.168)","0.719
(0)","0.853
(0)","0.731
(0)","-0.11
(0.412)","-0.04
(0.768)","0.713
(0)","0.083
(0.536)","-0.059
(0.66)","0.312
(0.017)"
"ep_uninsur","0.447
(0)","0.23
(0.082)","0.256
(0.052)","0.426
(0.001)","","-0.119
(0.375)","0.307
(0.019)","-0.005
(0.971)","0.316
(0.016)","0.243
(0.066)","0.141
(0.29)","-0.212
(0.109)","0.176
(0.186)","0.244
(0.065)","-0.188
(0.159)","-0.066
(0.62)","0.161
(0.226)"
"ep_age65","-0.245
(0.064)","-0.048
(0.718)","-0.308
(0.019)","-0.672
(0)","-0.119
(0.375)","","-0.745
(0)","0.632
(0)","-0.55
(0)","-0.746
(0)","-0.841
(0)","-0.333
(0.011)","0.373
(0.004)","-0.726
(0)","-0.254
(0.055)","0.171
(0.2)","-0.299
(0.022)"
"ep_age17","0.523
(0)","0.395
(0.002)","0.305
(0.02)","0.842
(0)","0.307
(0.019)","-0.745
(0)","","-0.273
(0.038)","0.697
(0)","0.701
(0)","0.739
(0)","-0.108
(0.418)","-0.12
(0.368)","0.626
(0)","-0.138
(0.303)","-0.202
(0.128)","0.33
(0.011)"
"ep_disabl","0.39
(0.002)","0.437
(0.001)","0.192
(0.15)","-0.183
(0.168)","-0.005
(0.971)","0.632
(0)","-0.273
(0.038)","","-0.018
(0.892)","-0.518
(0)","-0.6
(0)","-0.595
(0)","0.679
(0)","-0.563
(0)","-0.095
(0.478)","0.26
(0.048)","-0.186
(0.162)"
"ep_sngpnt","0.68
(0)","0.55
(0)","0.597
(0)","0.719
(0)","0.316
(0.016)","-0.55
(0)","0.697
(0)","-0.018
(0.892)","","0.538
(0)","0.517
(0)","-0.232
(0.08)","0.023
(0.863)","0.472
(0)","0.041
(0.759)","-0.039
(0.771)","0.317
(0.015)"
"ep_limeng","0.32
(0.014)","0.259
(0.049)","0.254
(0.054)","0.853
(0)","0.243
(0.066)","-0.746
(0)","0.701
(0)","-0.518
(0)","0.538
(0)","","0.889
(0)","0.282
(0.032)","-0.376
(0.004)","0.869
(0)","0.261
(0.048)","-0.19
(0.153)","0.266
(0.043)"
