county,year,population,total_cases_annual,avg_tmean_annual,total_ppt_annual
ALAMEDA,2002,2000000,0,14.695387625189685,485.36911671460757
ALAMEDA,2003,1285714,12,15.107499576329765,438.35294292765
ALAMEDA,2004,1333333,12,15.06982531297354,467.82167700595863
ALAMEDA,2005,1375000,12,14.850586673780304,651.1188595706285
ALAMEDA,2006,1363636,24,14.625247543451016,608.124812966415
ALAMEDA,2007,1368421,24,14.390998269935555,330.5101691053659
ALAMEDA,2008,1350000,24,14.474468781834558,398.1737119220316
ALAMEDA,2009,1333333,12,14.553182667420234,487.6454429480255
ALAMEDA,2010,1428571,24,14.323540559731674,649.2411426286532
ALAMEDA,2011,1437500,24,14.014373660508078,443.7323229799576
ALAMEDA,2012,1400000,24,14.43030504974318,623.6810388199746
ALAMEDA,2013,1473684,24,14.688060145739735,126.78439782532436
ALAMEDA,2014,1500000,24,16.080352893161606,566.4602510506495
ALAMEDA,2015,1520000,36,15.793409680142815,261.29050523651017
ALAMEDA,2016,1500000,48,15.392064611222168,625.7461016743695
ALAMEDA,2017,1534884,72,15.445673471510515,696.9143664051576
ALAMEDA,2018,1530612,72,14.944967945206523,462.1523806062807
ALAMEDA,2019,1548387,96,15.205543799795592,607.6070449029528
ALAMEDA,2020,1558140,72,15.791815375945346,193.1861480712155
ALAMEDA,2021,1555556,96,14.755860340448073,541.0363602981669
ALAMEDA,2022,1520000,72,14.845667996944783,359.4854399798125
ALAMEDA,2023,1525424,96,14.5570279408174,744.8578180924142
AMADOR,2004,37037,0,15.405360787113509,708.421600438279
AMADOR,2005,37037,0,15.429913357893627,1127.756008002325
AMADOR,2006,38095,0,15.178948933879534,995.0153014226238
AMADOR,2007,37736,0,15.115248509248097,568.2362105420953
AMADOR,2008,37975,0,15.261699460198482,574.9697295213185
AMADOR,2009,37736,0,15.021945915619533,714.1185536168283
AMADOR,2010,37736,0,14.346852252880732,1177.3656349562248
AMADOR,2011,37037,0,13.867267183959484,806.2474209472537
AMADOR,2012,37037,0,14.976572662591934,984.3654027034696
AMADOR,2015,37037,0,15.698787999153136,620.139842923636
AMADOR,2017,38462,0,15.465220181147258,1333.9699311956763
AMADOR,2018,40000,12,15.429953348636626,779.1432044289774
AMADOR,2019,40323,0,14.925239159663517,1147.7792766481434
AMADOR,2020,40462,12,16.090664196014405,503.02666001173156
AMADOR,2021,40000,0,15.65602319041888,863.5290838968906
AMADOR,2022,40000,0,15.637905277808507,658.4431504826003
AMADOR,2023,40000,12,14.616101931532224,1028.6053287211457
CALAVERAS,2003,43478,0,15.07129253234182,733.3392447133792
CALAVERAS,2011,45455,0,13.762503576420603,797.5018122478784
CALAVERAS,2012,45455,0,14.964911844049182,939.2593079658192
CALAVERAS,2013,45455,0,14.962855732157117,258.6323179133719
CALAVERAS,2014,45455,0,15.99488178605125,736.2863724822756
CALAVERAS,2015,45455,0,15.488383828884078,618.574006067241
CALAVERAS,2016,45455,0,15.283449702319645,1004.3389174620035
CALAVERAS,2018,45455,0,15.367656675123033,772.8846708657885
CALAVERAS,2019,45455,0,14.641457182310877,1169.8868279700703
CALAVERAS,2020,45198,12,15.83572436372439,466.8801482313053
CALAVERAS,2021,45455,0,15.676510441870917,808.3660996275433
CALAVERAS,2022,44444,0,15.486126390241441,595.4005205457165
CALAVERAS,2023,45455,0,14.562032217692051,1057.7980122216275
COLUSA,2004,20134,0,16.407456384764778,525.4363158311703
COLUSA,2005,20408,0,16.20080868403117,635.7811219179202
