# Title: January - December 2004 California County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,18.35,69,-0.4,18.75
CA-003,Alpine County,California,29.86,35,-6.28,36.14
CA-005,Amador County,California,30.87,50,-4.36,35.23
CA-007,Butte County,California,39.31,51,-5.1,44.41
CA-009,Calaveras County,California,29.37,48,-4.9,34.27
CA-011,Colusa County,California,27.12,99,5.12,22
CA-013,Contra Costa County,California,18.97,75,0.48,18.49
CA-015,Del Norte County,California,68.96,41,-11.03,79.99
CA-017,El Dorado County,California,36.39,37,-8.25,44.64
CA-019,Fresno County,California,18.64,65,-0.96,19.6
CA-021,Glenn County,California,30.11,95,4.23,25.88
CA-023,Humboldt County,California,56.54,52,-6.85,63.39
CA-025,Imperial County,California,5.26,117,1.88,3.38
CA-027,Inyo County,California,8.13,107,1.89,6.24
CA-029,Kern County,California,8.94,76,-0.11,9.05
CA-031,Kings County,California,7.84,80,0.23,7.61
CA-033,Lake County,California,46.75,78,3.29,43.46
CA-035,Lassen County,California,17.07,41,-3.33,20.4
CA-037,Los Angeles County,California,17.36,85,1.8,15.56
CA-039,Madera County,California,21.17,62,-1.95,23.12
CA-041,Marin County,California,35.33,69,-0.15,35.48
CA-043,Mariposa County,California,29.16,58,-3.65,32.81
CA-045,Mendocino County,California,46.46,51,-5.15,51.61
CA-047,Merced County,California,12.22,83,0.95,11.27
CA-049,Modoc County,California,16.91,57,-1.16,18.07
CA-051,Mono County,California,15.44,78,-0.19,15.63
CA-053,Monterey County,California,21.9,85,1.8,20.1
CA-055,Napa County,California,31.23,67,0.13,31.1
CA-057,Nevada County,California,41.23,36,-9.14,50.37
CA-059,Orange County,California,14.1,88,0.55,13.55
CA-061,Placer County,California,38.13,40,-7.64,45.77
CA-063,Plumas County,California,36.65,50,-4.56,41.21
CA-065,Riverside County,California,10.27,98,1.78,8.49
CA-067,Sacramento County,California,18.11,63,-0.58,18.69
CA-069,San Benito County,California,18.47,88,1.73,16.74
CA-071,San Bernardino County,California,9.41,107,2.55,6.86
CA-073,San Diego County,California,13.89,80,-0.4,14.29
CA-075,San Francisco County,California,24.42,67,0.12,24.3
CA-077,San Joaquin County,California,14.62,77,0.57,14.05
CA-079,San Luis Obispo County,California,18.59,85,1.43,17.16
CA-081,San Mateo County,California,27.64,67,-1.02,28.66
CA-083,Santa Barbara County,California,19.96,84,1.12,18.84
CA-085,Santa Clara County,California,22.27,62,-0.84,23.11
CA-087,Santa Cruz County,California,31.47,63,-1.58,33.05
CA-089,Shasta County,California,40.27,63,-1.67,41.94
CA-091,Sierra County,California,37.5,38,-8.25,45.75
CA-093,Siskiyou County,California,36.88,66,-1.93,38.81
CA-095,Solano County,California,20.92,75,1.13,19.79
CA-097,Sonoma County,California,41.62,67,-0.4,42.02
CA-099,Stanislaus County,California,13.13,65,-0.52,13.65
CA-101,Sutter County,California,18.74,66,-0.24,18.98
CA-103,Tehama County,California,34.94,63,-1.57,36.51
CA-105,Trinity County,California,53.71,62,-3.78,57.49
CA-107,Tulare County,California,18.25,47,-3.59,21.84
CA-109,Tuolumne County,California,35.5,53,-5.34,40.84
CA-111,Ventura County,California,22.12,86,1.71,20.41
CA-113,Yolo County,California,21.2,75,1.19,20.01
CA-115,Yuba County,California,33.16,49,-4.57,37.73
